"C”DIGO DE LA SERIE",DMNPDE2010_P00000_PS_APU,DMNPDE2010_P00000_PS_AES,DMNPDE2010_P00000_PS_AEA,DMNPDE2010_P00000_PS_ACS,DMNPDE2010_P00000_PS_ALS,DMNPDE2010_P00000_PS_ASG,DMNPDE2010_P00030_PS_APU,DMNPDE2010_F20000_PS_APU,DMNPDE2010_F30000_PS_APU,DMNPDE2010_F31000_PS_APU,DMNPDE2010_F32000_PS_APU,DMNPDE2010_F40000_PS_APU,DMNPDE2010_F41000_PS_APU,DMNPDE2010_F42000_PS_APU
"JUN 2010",609031983,508796795,6820657,111480500,36513902,17168553,71748424,3511672,500720255,71474243,429246012,104800055,12987782,91812273
"JUL 2010",608166408,508147079,6832837,111070919,36738546,17168553,71791526,3542373,499610060,71244364,428365696,105013975,12937119,92076856
"AGO 2010",608043161,514188271,6847025,109738502,36221390,17168553,76120579,3555391,501216748,71371726,429845022,103271022,11659914,91611108
"SEP 2010",620541066,522186545,6876758,114359971,36219979,17168553,76270740,3568053,509492525,70784786,438707739,107480488,12080390,95400098
"OCT 2010",634469477,535720834,6888492,115317808,35886853,17168553,76513063,3573538,523332253,73480496,449851757,107563686,11744942,95818744
"NOV 2010",640613385,541042963,6891535,117558650,35364743,17168553,77413059,3563957,530275311,71418510,458856801,106774117,10259324,96514793
"DIC 2010",649152530,544789801,6766843,124239198,35452660,17168553,79264524,3583531,533299766,68896608,464403158,112269233,8438141,103831092
"ENE 2011",662069033,552913507,8792348,125753381,36404100,17168553,78962856,3598017,543805879,67490154,476315726,114665137,10616723,104048414
"FEB 2011",678323641,562487920,13851509,127412528,37261861,17168553,79858729,3602134,557505971,67570303,489935668,117215536,11733618,105481918
"MAR 2011",691086365,571990217,15952021,131113590,37365714,17168553,82503729,3601743,566793167,62613006,504180161,120691455,12922982,107768473
"ABR 2011",684671412,563781070,15877135,131393946,37671927,17168553,81221219,3610123,562203049,61613300,500589749,118858240,14108808,104749432
"MAY 2011",692398266,571152843,16717120,134073265,37275654,17168553,83989168,3630054,571643636,63931383,507712253,117124577,12269103,104855474
"JUN 2011",710839618,582448110,17000413,140044829,37659889,17168553,83482176,3640790,583057851,65044659,518013192,124140977,16401779,107739198
"JUL 2011",704199493,572147442,18698791,139847908,37709864,17168553,81373065,3667928,576329662,65339497,510990164,124201903,17285831,106916072
"AGO 2011",703925916,573553245,18696373,139312071,36726648,17168553,81530973,3681447,577303446,65489256,511814190,122941024,16413951,106527073
"SEP 2011",713894705,581964638,18810244,141944504,36723040,17168553,82716274,3693033,584679317,65564700,519114617,125522355,17110790,108411565
"OCT 2011",711903499,574586994,22097272,140901954,36871760,17168553,79723035,3691015,584419255,67417726,517001529,123793228,15698458,108094770
"NOV 2011",723502438,584038537,22914680,142639021,35943327,17168553,79201680,3686928,595684474,70120602,525563872,124131036,14642075,109488961
"DIC 2011",743043162,598994968,25242883,145878702,36819169,17168553,81061113,3684907,609419413,74185225,535234188,129938842,15231750,114707092
"ENE 2012",757750097,615583714,25042100,145675094,37465149,17168553,83184513,3833927,623000718,69708518,553292200,130915451,17717783,113197668
"FEB 2012",770305097,623065466,27446102,147622159,37973292,17168553,82970475,3679550,633643436,66214084,567429352,132982110,17347672,115634438
"MAR 2012",781571151,632281485,28290496,151003143,38235895,17168553,85408421,3666139,638757870,60801911,577955959,139147142,17712708,121434434
"ABR 2012",775287369,623073213,28291056,151550348,38261397,17168553,83057197,3657338,628062038,57945393,570116646,143567993,16075983,127492010
"MAY 2012",792135163,627781258,36310115,153656302,41628597,17168553,84409662,3651863,629006705,52611153,576395552,159476595,17384227,142092368
"JUN 2012",810956183,629860431,54916715,172821854,46359500,17168553,110170870,3663797,631709068,50343868,581365200,175583318,20060621,155522697
"JUL 2012",810292261,624044784,55257106,174055904,45837383,17188343,106091259,3674215,628709281,50838318,577870963,177908765,20594471,157314294
"AGO 2012",807114109,626389066,55245336,171336132,45039717,17188215,108084357,3690918,628823517,50963380,577860137,174599674,18285564,156314110
"SEP 2012",823547009,645820923,55272305,172064658,45149472,17195409,111955757,3690061,646328976,57469457,588859519,173527972,17178013,156349959
"OCT 2012",823458747,640931558,60358071,171489261,44296508,17190543,110807194,3681097,646835660,61762960,585072700,172941990,17753482,155188508
"NOV 2012",837071741,658682765,65241788,170331342,43399006,17194926,117778086,3673803,661813205,65073932,596739273,171584733,16022056,155562677
"DIC 2012",927813291,711226507,152835364,189182735,44003035,17188197,186622546,3681197,706198531,71584543,634613988,217933563,15138771,202794792
"ENE 2013",941838186,718980475,179074042,182747828,43228013,17188322,199380493,3683178,717836556,69945901,647890655,220318452,15560422,204758030
"FEB 2013",986685841,734832499,198667925,187168090,44641536,17194798,195819007,3670985,746554039,77676451,668877588,236460816,15896842,220563974
"MAR 2013",1000282912,745250687,207534244,194226667,44952886,17187915,208869487,3672106,756872767,75775894,681096873,239738039,15166013,224572026
"ABR 2013",991948818,741323149,213567911,190361145,44730524,17191304,215225214,3677436,749365870,75288751,674077119,238905512,16191054,222714458
"MAY 2013",1011897578,760577720,215650890,190425382,44605784,17188459,216550656,3673083,778443172,75860442,702582730,229781322,16416759,213364563
"JUN 2013",1014644341,766803033,209933993,197924932,44534561,17201627,221753805,3673929,785843060,80618652,705224408,225127352,17871301,207256051
"JUL 2013",1018312268,767511522,212083750,196592497,44196167,17192607,219264276,3701507,789328038,85252239,704075799,225282722,17617353,207665369
"AGO 2013",1015728705,769085534,213049474,195233906,43387616,17189451,222217276,3709363,788794565,85118449,703676116,223224777,15600483,207624294
"SEP 2013",1024944801,778935554,211237930,200513066,43101499,17189801,226033049,3714380,796937148,87015453,709921695,224293272,16714076,207579196
"OCT 2013",1021528854,774805786,215846280,199000577,42154498,17747363,228025649,3690355,794546543,89871811,704674732,223291956,16330934,206961022
"NOV 2013",1018809559,782313560,220618151,196376387,41811307,17195045,239504891,3688319,803634744,91747901,711886843,211486495,12485608,199000887
"DIC 2013",1025805218,788930626,198384936,210520008,42109482,17187330,231327164,3696413,807604141,92740388,714863753,214504665,12078329,202426336
"ENE 2014",1032673046,796118222,194304161,211935940,42031878,17187419,228904574,3711679,818060328,92364581,725695747,210901038,13775832,197125206
"FEB 2014",1041021785,804867517,194288162,214559513,42261541,17187756,232142704,3712289,828357577,90081233,738276344,208951919,10782998,198168921
"MAR 2014",1053637804,813144029,205309362,225722553,41907240,17188348,249633728,3726296,830185290,86023526,744161764,219726218,10719587,209006631
"ABR 2014",1045276271,806341930,208937807,224909638,41902340,17191709,254007153,3737171,822284166,84260396,738023770,219254934,10281354,208973580
"MAY 2014",1058898270,821906905,208802218,222959045,42642817,17188688,254601403,3766697,836262518,85172547,751089971,218869055,10634353,208234702
"JUN 2014",1066326725,831394064,208196703,228965776,41990047,17203429,261423293,3803518,845510695,88136743,757373952,217012512,11546114,205466398
"JUL 2014",1059540137,850006528,165879784,228274445,40892635,17195622,242708877,3848758,842157543,86432832,755724711,213533835,13335438,200198397
"AGO 2014",1063585289,854400339,165844453,227488163,41274261,17198606,242620533,3856724,846107603,85668944,760438659,213620962,12069689,201551273
"SEP 2014",1073485591,865684611,166122591,232877161,40783234,17200390,249182396,3863081,856831678,87419239,769412439,212790831,11676093,201114738
"OCT 2014",1068545984,856287623,165654496,233428643,40688868,17188716,244702362,3844040,851116350,88139867,762976483,213585594,12547216,201038378
"NOV 2014",1074262985,862866224,162691839,232342144,40723867,17201530,241562619,3852160,857150077,90375960,766774117,213260748,11922894,201337854
"DIC 2014",1085165385,870818662,165391081,237941057,38329059,17187960,244502435,3847349,864857980,90967626,773890354,216460056,11619505,204840551
"ENE 2015",1085755261,870866864,101671173,239214488,38517151,17188022,181702436,3864512,863788489,92331140,771457349,218102261,13900213,204202048
"FEB 2015",1090046480,877514317,101077037,239532570,38713599,17192686,183983729,3873854,870387096,85551654,784835442,215785530,12770856,203014674
"MAR 2015",1095972020,883684595,100123956,241483064,38274479,17189848,184783921,3877834,878628194,84447713,794180481,213465992,13800001,199665991
"ABR 2015",1082092015,873250472,100616159,247374625,38265217,17188072,194602530,3892496,867938414,83983480,783954934,210261106,13731301,196529805
"MAY 2015",1089927572,882281524,100554196,249999908,37845259,17186940,197940255,3915725,876895931,84839318,792056613,209115916,12992841,196123075
"JUN 2015",1101278009,896636219,97124066,251062333,37723315,17196005,198463930,3948031,890447715,85040473,805407242,206882263,13916980,192965283
"JUL 2015",1088530895,888349135,97007395,250725400,37287190,17192713,202030938,3980766,881940201,86894752,795045449,202609928,13698075,188911853
"AGO 2015",1097810998,898907789,97116499,251563220,36855446,17199150,203831106,4001451,892275284,88238426,804036858,201534263,11943079,189591184
"SEP 2015",1111249571,912446080,96604767,254303368,36780319,17196568,206081531,4018029,904132027,88733400,815398627,203099515,13488546,189610969
"OCT 2015",1105580393,907695361,97439595,254430362,36111315,17186075,207282315,4024897,900022134,88907063,811115071,201533362,12710713,188822649
"NOV 2015",1115879286,912084470,96942571,255492103,35397379,17193598,201230834,4039815,910898226,90366887,820531339,200941245,12118955,188822290
"DIC 2015",1114129000,917460528,91763751,263259203,35108954,17188376,210651812,4056259,912968030,90040246,822927784,197104710,11238648,185866062
"ENE 2016",1116447018,915557439,91707284,265427229,34932552,17189074,208366558,4068172,913502154,89955203,823546951,198876693,13513390,185363303
"FEB 2016",1122355853,925410256,91261230,264723240,35356451,17189791,211585115,4081024,919194994,91813210,827381784,199079835,13414711,185665124
"MAR 2016",1136250404,938503288,91126991,265974267,35030337,17187918,211572398,4088940,933391711,91184430,842207281,198769753,13981177,184788576
"ABR 2016",1122459194,922369966,88849208,265917161,35545386,17178545,207401073,4093438,919200872,89331299,829869573,199164883,13397008,185767875
"MAY 2016",1126154337,926669607,87819723,267600903,35752182,17179006,208867085,4113560,923987529,85890512,838097017,198053248,12902438,185150810
"JUN 2016",1145228687,939270135,89169121,273537122,35082913,17174090,209004694,4133217,942128962,89689414,852439548,198966508,14556293,184410215
"JUL 2016",1141187358,937775250,86586476,274814897,35276528,17173329,210439122,4165559,938671337,89126040,849545297,198350462,12140917,186209545
"AGO 2016",1141981677,940622178,86634759,274277386,34786912,17172811,211512369,4191266,940699135,87855391,852843744,197091277,10436767,186654510
"SEP 2016",1146892275,949662413,81482340,272695856,34630026,17173789,208752149,4202521,951571992,88164194,863407798,191117762,10135356,180982407
"OCT 2016",1144340641,939969504,82343274,274275370,34674322,17174139,204095969,4211268,948140046,90058540,858081506,191989327,11742584,180246743
"NOV 2016",1138956088,944280417,82449149,270696514,31193672,17173206,206836871,4230906,953059669,90530455,862529214,181665512,9680300,171985212
"DIC 2016",1145655013,951368334,79431662,276995068,32196838,17173045,211509934,4246992,957107245,82242148,874865097,184300776,9485453,174815323
"ENE 2017",1153306839,955567545,79508628,278520264,31928193,17173083,209390874,4249299,956293300,82390797,873902503,192764240,18524952,174239288
"FEB 2017",1156191932,957202331,79903061,279494574,32061645,17176049,209645728,4255188,966715109,86425476,880289633,185221635,11239527,173982108
"MAR 2017",1166487979,968927680,78879755,279349598,31669301,17172737,209511092,4255244,977614149,84216485,893397664,184618586,11388694,173229892
"ABR 2017",1154902585,957061155,78338490,281517925,32314747,17172637,211502369,4266551,967036479,82847048,884189431,183599555,10814833,172784722
"MAY 2017",1165238844,968258443,78256127,284398981,31674248,17172448,214521403,4297784,978763815,81167519,897596296,182177245,10237235,171940010
"JUN 2017",1175559782,976867132,76256235,285896973,32388377,17172822,213021757,4338468,989233053,81149534,908083519,181988261,12043279,169944982
"JUL 2017",1171069004,973165129,76126451,284287661,31886714,23157338,217554290,4377808,987952209,79652646,908299563,178738987,9576618,169162369
"AGO 2017",1170197999,976137467,76105900,284175898,30902833,23186256,220310355,4396972,988621446,76826528,911794918,177179581,8795491,168384090
"SEP 2017",1177415780,982902888,74413941,284386647,30509008,23187347,217984051,4418378,996591738,77146181,919445557,176405663,8579023,167826641
"OCT 2017",1170805811,976862837,74807615,285873299,29833668,23184850,219756458,4435967,990143242,76482736,913660506,176226602,8036113,168190489
"NOV 2017",1179768293,988006729,75261466,286242408,29531136,27363721,226637167,4450798,1002969896,79084043,923885853,172347599,7481057,164866542
"DIC 2017",1184148267,997624248,71725169,288117844,29034366,27393064,229746425,4461905,1008853943,79599741,929254202,170832419,8844433,161987986
"ENE 2018",1185099014,996733288,71677302,287556824,29016276,27363113,227247789,4477498,1008100126,78074730,930025396,172521391,10193419,162327972
"FEB 2018",1196935223,1008238166,72726079,287159318,29124768,27387270,227700377,4483615,1022651823,75857271,946794552,169799785,9944456,159855329
"MAR 2018",1200603758,1015300887,70893961,289688222,28950428,27362635,231592375,4495537,1026839802,73501057,953338745,169268419,9769818,159498602
"ABR 2018",1191004200,1006952984,70357572,289707856,28815679,27362106,232191997,4510430,1017819641,72402714,945416927,168674130,10125278,158548852
"MAY 2018",1195583001,1011883302,70084320,290850275,28868421,27386610,233489927,4528508,1025675704,70676617,954999087,165378790,9591969,155786821
"JUN 2018",1203666985,1021883414,69162424,293385041,29370965,34888050,245022909,4568258,1031802307,69794338,962007969,167296419,12101818,155194601
"JUL 2018",1200487758,1018978851,69243821,291750417,28717660,34887827,243090819,4613599,1031627185,70526251,961100934,164246974,10286236,153960738
"AGO 2018",1202841722,1023319461,69402107,291079981,27775685,34862751,243598262,4633837,1035545728,69441379,966104349,162662157,9111153,153551004
"SEP 2018",1215480337,1036645659,67619733,292441377,27988486,34862854,244077772,4661350,1046678278,69113804,977564474,164140709,9936874,154203835
"OCT 2018",1200841847,1023136734,67506286,292429254,26871830,34863535,243965792,4675019,1038257991,69840220,968417771,157908837,9366046,148542791
"NOV 2018",1209808067,1032627873,67418977,293245039,26424702,41193206,251101730,4693626,1048590021,71680937,976909084,156524420,6089789,150434630
"DIC 2018",1209741798,1035740018,66255731,293395933,25779930,41194229,252624042,4707327,1048895369,79932669,968962700,156139102,7722114,148416988
"ENE 2019",1210671570,1036538703,66615078,292351419,25823688,41193425,251850743,4715260,1048275750,79387501,968888249,157680560,7182281,150498279
"FEB 2019",1220517309,1046667288,66082389,293552662,26130464,41192637,253108131,4717944,1058260863,79530123,978730740,157538502,7247460,150291042
"MAR 2019",1232530867,1058548255,64632077,296926428,25970858,43068085,256614837,4728950,1069282443,78212113,991070330,158519474,9171475,149347999
"ABR 2019",1215880044,1042797819,63814680,297196503,26330349,44946038,259205345,4739820,1053668170,72530881,981137289,157472054,8404907,149067147
"MAY 2019",1228056101,1052127622,63993183,298837777,26039581,46820890,259762951,4760286,1063427807,72947786,990480021,159868008,7477205,152390803
"JUN 2019",1243204610,1066198156,64019821,300633141,26233443,48693118,262573070,4790429,1076840272,73514604,1003325668,161573909,10555173,151018736
"JUL 2019",1229554033,1053187780,63760624,299437387,26467950,49943695,263243402,4822049,1065054231,72175856,992878375,159677753,8175344,151502409
"AGO 2019",1231946928,1056123615,63731963,298623247,25618111,51193004,263343012,4826786,1069248945,71429246,997819699,157871196,8838816,149032380
"SEP 2019",1239629574,1065347107,63145566,298077916,25244475,52444716,264630206,4850791,1077237939,72083081,1005154858,157540844,8401999,149138845
"OCT 2019",1226797146,1051604979,62960048,298900826,25467837,53694339,265830883,4849972,1063415883,71661285,991754598,158531291,9014667,149516625
"NOV 2019",1223816780,1051850451,62971628,297288361,24621085,55024086,267938832,4870469,1062376182,73287496,989088686,156570128,8192485,148377643
"DIC 2019",1224363768,1056162572,63116716,295079640,23231399,55024338,268250896,4876395,1065483205,73361130,992122075,154004168,6876106,147128062
"ENE 2020",1231372141,1059803028,62836247,295822743,23108272,55024677,265222826,4880663,1064618599,73593143,991025456,161872879,15287427,146585452
"FEB 2020",1236969167,1064935759,59505114,298111856,23300058,55024614,263908234,4887585,1075425763,73146804,1002278959,156655819,10230356,146425464
"MAR 2020",1259789010,1090149024,59417273,298278994,22872386,55024766,265953433,4914735,1094660191,73449920,1021210271,160214084,13410495,146803589
"ABR 2020",1270733557,1100435638,59571051,301269712,24223190,55023479,269789513,4921708,1105045697,84323283,1020722414,160766152,13053188,147712964
"MAY 2020",1293853337,1123104163,59335082,302494807,24432713,60023754,275537182,4930018,1127929001,89639107,1038289894,160994318,13099173,147895146
"JUN 2020",1326196252,1155197799,58451676,305689566,24971467,68854782,286969038,4942496,1159564464,93228404,1066336060,161689292,13310342,148378949
"JUL 2020",1326125732,1154557653,59124520,302810179,25025994,68859300,284251916,4952677,1160612546,96659147,1063953399,160560509,10083420,150477089
"AGO 2020",1333673871,1162534828,59131441,302466032,24556701,72604709,287619840,4956259,1168197210,98882349,1069314861,160520402,9439672,151080730
"SEP 2020",1343507727,1172652149,59528105,301869789,23742916,74854789,289140021,4961299,1179092347,100657393,1078434954,159454082,9096750,150357331
"OCT 2020",1341361790,1164475506,59386945,302686176,23464443,77104616,285755896,4962949,1168261128,98902414,1069358714,168137714,8420778,159716936
"NOV 2020",1347934432,1168858078,58945737,304215902,22701569,85354479,292141331,4967021,1169716743,96571209,1073145534,173250668,6704349,166546319
"DIC 2020",1346916369,1167296978,58711953,303991809,21952507,85355664,290392541,4958857,1167044025,90989643,1076054382,174913487,5019533,169893954
"ENE 2021",1350838413,1169893154,58162090,303703490,22626736,85354022,288901079,4934758,1169596641,90286843,1079309798,176307014,5516522,170790493
"FEB 2021",1369431582,1188941411,57986169,303261499,22864295,85353527,288975319,4924525,1187545392,87885494,1099659898,176961665,6127816,170833849
"MAR 2021",1395208421,1211064912,57097139,307685406,22747920,85355365,288742321,4920638,1201343812,87452544,1113891268,188943970,8632225,180311746
"ABR 2021",1391831919,1203745922,57180665,310853101,23357019,85355017,288659804,4916712,1195720820,86634872,1109085948,191194387,5367560,185826827
"MAY 2021",1404690902,1216797790,56655276,309871751,23285648,85353784,287273347,4922943,1204722839,83648087,1121074752,195045120,6304780,188740339
"JUN 2021",1427031776,1236439610,56976389,312030907,23438711,91854940,293708783,4928453,1224554869,82044933,1142509936,197548453,8484642,189063811
"JUL 2021",1418513129,1225907979,55965230,311306016,23246251,91853831,289766178,4935458,1215051710,81111228,1133940482,198525960,5546872,192979088
"AGO 2021",1421750201,1230754254,55671637,313145549,23249104,91854190,292924533,4950017,1219392993,80342452,1139050541,197407191,5793440,191613750
"SEP 2021",1434673200,1245941908,55809582,312293789,23101203,91854859,294328141,4960897,1233305937,79937199,1153368738,196406367,7469073,188937294
"OCT 2021",1424123847,1236363180,55793905,311331742,23168012,91854413,294387405,4966414,1224300617,80910692,1143389925,194856816,7287197,187569619
"NOV 2021",1428641033,1242437865,55051323,312418017,23055309,93854322,298175803,4977927,1230263782,82337524,1147926258,193399324,6224357,187174967
"DIC 2021",1429403591,1246217739,48873954,312610436,22779585,97185239,298263362,4983037,1234304112,88087693,1146216419,190116442,4613523,185502919
"ENE 2022",1427266069,1244010972,48895135,310274403,22787758,97184526,295886725,4993033,1233238635,88320203,1144918432,189034402,5074974,183959428
"FEB 2022",1443754109,1263655779,47474993,309827188,22925452,99186027,299315330,5006091,1251074463,92866764,1158207699,187673556,4573651,183099904
"MAR 2022",1456014149,1275694506,47772167,309765530,23166218,99187115,299571387,5015544,1260426204,86799772,1173626432,190572400,5639744,184932657
"ABR 2022",1447592862,1265663881,47855037,310678896,23171655,99185070,298961677,5023312,1249802983,80923459,1168879524,192766567,5310110,187456457
"MAY 2022",1458669967,1277557077,47393499,313704544,23692483,99183859,302861494,5041276,1260519304,75156813,1185362491,193109387,5742152,187367235
"JUN 2022",1477521588,1296000272,47209704,316685362,23551542,99185100,305110392,5069684,1278827429,73261006,1205566423,193624475,6779954,186844521
"JUL 2022",1489167295,1308942780,47154620,314367887,23842808,99184857,304325657,5089599,1291595878,72257200,1219338678,192481817,5820053,186661765
"AGO 2022",1493820858,1315209863,46911131,316097256,23416251,99183981,306997625,5108431,1297657398,70699670,1226957728,191055030,6133940,184921089
"SEP 2022",1505974934,1330443548,46736271,314866697,22817331,99191646,308080558,5130193,1311848290,69755145,1242093145,188996451,6107098,182889353
"OCT 2022",1499279954,1323282217,46512874,316148847,22753790,99193531,308611306,5144663,1305278605,67900868,1237377737,188856685,6136404,182720281
"NOV 2022",1508008479,1333046915,46469362,316819912,22965131,106175655,317468497,5155330,1313265529,66579801,1246685728,189587619,5968051,183619569
"DIC 2022",1504105075,1332600225,44459495,317092779,23050337,106177718,319275478,5150751,1314947307,65599237,1249348070,184007018,5679782,178327236
"ENE 2023",1491420363,1320719896,43826906,315490213,22843999,106170038,317630689,5162113,1305645838,64630723,1241015115,180612413,5411740,175200673
"FEB 2023",1521575531,1350561190,42819124,317831185,22942503,106168815,318747286,5172704,1336050382,62257244,1273793138,180352445,5152624,175199821
"MAR 2023",1536723086,1365162873,42476582,322408951,23063321,106171767,322560408,5170982,1348689765,68915857,1279773908,182862339,6155347,176706991
"ABR 2023",1527497710,1357688950,42162058,321710881,23435111,106169759,323669048,5178605,1340825441,75410940,1265414501,181493664,4927409,176566255
"MAY 2023",1543116788,1372541980,41834698,325605370,23603657,106169389,326638307,5192828,1354914722,81608492,1273306230,183009239,5426438,177582800
"JUN 2023",1570119310,1398209358,42033244,327349229,23744851,106173860,327391232,5208806,1380631990,81416431,1299215559,184278515,7939142,176339372
"JUL 2023",1558918276,1391595220,41605072,325837458,23536667,106169473,329825614,5222581,1373408496,81237151,1292171345,180287200,5033097,175254103
"AGO 2023",1564811675,1398325473,41268876,325919097,23251408,106171791,330124969,5235481,1380140939,80870309,1299270630,179435255,5160631,174274624
"SEP 2023",1578812365,1413749798,41280898,325485215,23254805,106172006,331130357,5250632,1395379297,81472788,1313906509,178182436,5340664,172841772
"OCT 2023",1573289744,1410784294,41166743,323618302,22937870,106170301,331387767,5267431,1391673039,82024913,1309648126,176349274,4929969,171419305
"NOV 2023",1577052411,1415718591,40755626,324459126,22889077,116172314,342942323,5278370,1396593451,81585631,1315007820,175180591,4789489,170391102
"DIC 2023",1575376739,1414969709,40398087,325241902,23314013,116172555,344719527,5286365,1397720504,71666287,1326054217,172369870,4824474,167545396
"ENE 2024",1584744631,1424943121,39996797,324146852,23208606,116171970,343722715,5273460,1408110374,70554899,1337555475,171360797,5980899,165379898
"FEB 2024",1604128141,1443345341,39245492,327880949,23093907,116170786,345608333,5286846,1427389306,70401206,1356988100,171451989,5104525,166347464
"MAR 2024",1614713237,1459236414,39113191,328939760,23141140,116170335,351887603,5264968,1437850477,70802589,1367047888,171597793,5293244,166304549
"ABR 2024",1606142201,1451284727,38821901,329231397,23252220,116169775,352617819,5274986,1429414892,71024035,1358390857,171452324,5854520,165597804
"MAY 2024",1601750873,1445241561,38567686,332881795,23455691,116169014,354564873,5284503,1423424590,71326707,1352097883,173041780,5953826,167087955
"JUN 2024",1625667594,1468912264,38530117,337473872,23527093,116170520,358946271,5310640,1445943316,71270309,1374673007,174413638,8359651,166053987
"JUL 2024",1617216422,1465250605,37967198,334693829,23876117,116171211,360742538,5328599,1443954349,71180935,1372773414,167933475,5300061,162633413
"AGO 2024",1622504934,1474285298,37773313,333944525,23026915,116171148,362696266,5340643,1451041643,71996453,1379045190,166122647,4532819,161589828
"SEP 2024",1635730679,1489708505,37176664,333176875,23115050,116170961,363617376,5353919,1464499746,74032396,1390467350,165877014,5009005,160868010
"OCT 2024",1627875444,1479659533,37698647,334209548,23253586,116169696,363115567,5363882,1455199773,69871176,1385328597,167311789,4663296,162648493
"NOV 2024",1621908386,1474287422,37421242,334889930,22887712,126176502,373754421,5368384,1450012159,70847809,1379164350,166527844,3884614,162643229
"DIC 2024",1620573311,1473456582,36769997,335943565,22854554,126173282,374624671,5362650,1452295329,81210494,1371084835,162915331,4707791,158207540
"ENE 2025",1629925987,1481725466,36395976,335298801,22898051,126173430,372565736,5376820,1461157379,76583387,1384573992,163391788,4845633,158546155
"FEB 2025",1646430635,1497585532,35814796,336047610,22963732,126172994,372154028,5380799,1476761200,77753555,1399007645,164288637,4656544,159632093
"MAR 2025",1667376159,1518204122,35685768,338147646,22851896,126173790,373687063,5383570,1498091559,78196118,1419895441,163901029,5324920,158576110
"ABR 2025",1663159082,1514078354,35559918,338450099,23008578,126173661,374111527,5391063,1492612092,75542712,1417069380,165155926,5215544,159940383
"MAY 2025",1663356787,1509367456,35353040,335868098,23213131,126172843,366617781,5406080,1489511138,76257904,1413253234,168439569,6094350,162345219
"JUN 2025",1690905638,1534474110,35113141,342794879,23331373,126177793,370985659,5433386,1513251008,75837648,1437413360,172221244,7701223,164520021
"JUL 2025",1680331445,1524865714,34724210,340027401,23498403,126173762,368958046,5463025,1504395644,69831262,1434564382,170472776,6070446,164402330
"AGO 2025",1699467830,1546171202,34726698,340242110,22689773,126173218,370535173,5482873,1508313400,69825323,1438488077,185671557,5935859,179735698
"SEP 2025",1709348857,1557967901,34800789,338803643,22477150,126173303,370873930,5490171,1518102489,69053565,1449048924,185756197,5864587,179891610
"OCT 2025",1693238203,1541840467,34333860,338999695,22008241,126174389,370118448,5499115,1502713421,75186005,1427527416,185025667,5587433,179438235
"NOV 2025",1698288669,1548738984,34360348,339130997,22049377,136178153,382169190,5509459,1511296540,74217270,1437079270,181482670,4939720,176542950
"DIC 2025",1698224580,1548912068,34241373,341642418,20729282,136178942,383479504,5514614,1515694040,75074263,1440619777,177015926,7485709,169530217
"ENE 2026",1706684170,1558731046,34010042,338542606,20786349,136178073,381563946,5526490,1526359366,82314390,1444044976,174798314,5016008,169782306
"FEB 2026","_",1573440922,"_","_","_","_","_","_","_","_","_","_","_","_"
"FUENTE","","","","","","","","","","","","","",""
"NOTAS","","","","","","","","","","","","","",""
